reg_no,score,course
2017/247492,,ECE 554
2017/247518,,ECE 554
2017/241520,,ECE 554
2018/242549,,ECE 554
2017/247549,,ECE 554
2017/247569,,ECE 554
2017/243336,,ECE 554
2018/242677,,ECE 554
2018/249029,,ECE 554
2017/247631,,ECE 554
2017/247633,,ECE 554
2016/240964,,ECE 554
2017/247691,,ECE 554
2017/247697,,ECE 554
2014/193198,,ECE 554
2017/243332,,ECE 554
2017/245069,,ECE 554
2017/242559,,ECE 571
2017/247306,,ECE 571
2017/243330,,ECE 571
2017/247307,,ECE 571
2017/241523,,ECE 571
2015/202051,,ECE 571
2017/241426,,ECE 571
2017/247314,,ECE 571
2017/247322,,ECE 571
2017/247324,,ECE 571
2018/250680,,ECE 571
2017/247332,,ECE 571
2017/247336,,ECE 571
2017/247339,,ECE 571
2016/237223,,ECE 571
2017/243343,,ECE 571
2017/243694,,ECE 571
2017/247347,,ECE 571
2017/243693,,ECE 571
2017/247377,,ECE 571
2017/247379,,ECE 571
2017/251648,,ECE 571
2017/243339,,ECE 571
2017/247388,,ECE 571
2017/247390,,ECE 571
2017/247392,,ECE 571
2017/247394,,ECE 571
2017/247395,,ECE 571
2017/243333,,ECE 571
2014/193739,,ECE 571
2017/247396,,ECE 571
2017/243334,,ECE 571
2017/247400,,ECE 571
2017/247403,,ECE 571
2017/247408,,ECE 571
2017/242562,,ECE 571
2017/247411,,ECE 571
2017/247412,,ECE 571
2017/247415,,ECE 571
2017/247416,,ECE 571
2017/245079,,ECE 571
2017/243981,,ECE 571
2017/247419,,ECE 571
2017/244966,,ECE 571
2016/232376,,ECE 571
2017/247462,,ECE 571
2018/242518,,ECE 571
2017/241396,,ECE 571
2017/242609,,ECE 571
2017/243338,,ECE 571
2017/247466,,ECE 571
2017/247467,,ECE 571
2017/243341,,ECE 571
2017/247469,,ECE 571
2017/247470,,ECE 571
2017/241424,,ECE 571
2017/247473,,ECE 571
2017/244998,,ECE 571
2017/245213,,ECE 571
2017/247474,,ECE 571
2017/247475,,ECE 571
2017/247476,,ECE 571
2017/242564,,ECE 571
2017/247477,,ECE 571
2017/247478,,ECE 571
2017/247479,,ECE 571
2017/242561,,ECE 571
2017/247480,,ECE 571
2018/250698,,ECE 571
2017/251649,,ECE 571
2018/242536,,ECE 571
2017/247488,,ECE 571
2017/247492,,ECE 571
2017/247495,,ECE 571
2017/247497,,ECE 571
2017/242563,,ECE 571
2017/247499,,ECE 571
2017/247504,,ECE 571
2018/250361,,ECE 571
2016/237232,,ECE 571
2017/247513,,ECE 571
2017/247518,,ECE 571
2017/247535,,ECE 571
2017/247538,,ECE 571
2017/243335,,ECE 571
2018/242549,,ECE 571
2017/247549,,ECE 571
2017/241427,,ECE 571
2017/247561,,ECE 571
2017/243979,,ECE 571
2017/247566,,ECE 571
2017/243331,,ECE 571
2017/243329,,ECE 571
2017/247569,,ECE 571
2017/243336,,ECE 571
2017/242560,,ECE 571
2017/247586,,ECE 571
2017/243982,,ECE 571
2017/247590,,ECE 571
2017/241425,,ECE 571
2017/245069,,ECE 571
2017/243980,,ECE 571
2017/247603,,ECE 571
2017/247609,,ECE 571
2017/247613,,ECE 571
2017/243692,,ECE 571
2017/243364,,ECE 571
2017/241522,,ECE 571
2017/245047,,ECE 571
2018/242677,,ECE 571
2017/247622,,ECE 571
2017/247626,,ECE 571
2017/247631,,ECE 571
2017/247633,,ECE 571
2017/247638,,ECE 571
2016/240964,,ECE 571
2017/247651,,ECE 571
2017/247655,,ECE 571
2017/247678,,ECE 571
2017/247685,,ECE 571
2017/247691,,ECE 571
2017/247718,,ECE 571
2017/247316,,ECE 571
2017/243342,,ECE 571
2018/250563,,ECE 571
2017/247319,,ECE 571
2017/247659,,ECE 571
2017/247642,,ECE 571
2016/237922,,ECE 571
2017/247697,,ECE 571
2018/249029,,ECE 571
2017/243977,,ECE 571
2018/241520,,ECE 571
2016/237229,,ECE 571
2017/247405,,ECE 571
2017/247471,,ECE 571
2017/247616,,ECE 571
2017/247460,,ECE 571
2012/181387,,ECE 571
2017/243332,,ECE 571
2013/187656,,ECE 571
2013/188968,,ECE 571
2017/247330,,ECE 571
2017/247711,,ECE 571
2017/243691,,ECE 571
2017/247382,,ECE 571
2014/191764,,ECE 571
2014/193198,,ECE 571
2017/247306,,ECE 572
2015/202051,,ECE 572
2017/241426,,ECE 572
2017/247316,,ECE 572
2016/231379,,ECE 572
2017/247339,,ECE 572
2017/243342,,ECE 572
2017/247379,,ECE 572
2017/251648,,ECE 572
2017/243333,,ECE 572
2017/247396,,ECE 572
2017/247400,,ECE 572
2017/247403,,ECE 572
2017/242562,,ECE 572
2017/247411,,ECE 572
2017/247412,,ECE 572
2017/247419,,ECE 572
2017/241396,,ECE 572
2017/242609,,ECE 572
2017/247467,,ECE 572
2017/247471,,ECE 572
2017/247473,,ECE 572
2017/247474,,ECE 572
2017/247475,,ECE 572
2017/247476,,ECE 572
2017/242564,,ECE 572
2017/247477,,ECE 572
2017/247478,,ECE 572
2017/247488,,ECE 572
2017/247495,,ECE 572
2017/242563,,ECE 572
2018/250361,,ECE 572
2017/243977,,ECE 572
2016/237232,,ECE 572
2017/247535,,ECE 572
2017/241427,,ECE 572
2017/247561,,ECE 572
2017/243979,,ECE 572
2017/243331,,ECE 572
2017/243329,,ECE 572
2016/237920,,ECE 572
2017/247590,,ECE 572
2017/247603,,ECE 572
2017/247609,,ECE 572
2017/241522,,ECE 572
2017/245047,,ECE 572
2018/242677,,ECE 572
2017/247622,,ECE 572
2017/247626,,ECE 572
2017/247642,,ECE 572
2017/247711,,ECE 572
2017/274314,,ECE 572
2017/242560,,ECE 572
2017/242559,,ECE 573
2017/247306,,ECE 573
2017/243330,,ECE 573
2017/247307,,ECE 573
2017/241523,,ECE 573
2017/241426,,ECE 573
2015/202051,,ECE 573
2017/247314,,ECE 573
2017/247316,,ECE 573
2017/247317,XX,ECE 573
2017/247319,,ECE 573
2016/233496,XX,ECE 573
2017/247322,,ECE 573
2017/243978,XX,ECE 573
2017/247324,,ECE 573
2017/247330,,ECE 573
2018/250680,,ECE 573
2017/247332,,ECE 573
2017/247336,,ECE 573
2017/247339,,ECE 573
2016/237223,,ECE 573
2017/243343,,ECE 573
2017/243342,,ECE 573
2017/243694,,ECE 573
2017/247347,,ECE 573
2017/243693,,ECE 573
2017/247377,,ECE 573
2017/247379,,ECE 573
2017/251648,,ECE 573
2017/243339,,ECE 573
2017/243691,,ECE 573
2017/247382,,ECE 573
2017/247385,XX,ECE 573
2017/247388,,ECE 573
2010/170439,XX,ECE 573
2017/247390,,ECE 573
2017/247392,,ECE 573
2017/243332,,ECE 573
2017/247394,,ECE 573
2017/247395,,ECE 573
2017/243333,,ECE 573
2014/193739,,ECE 573
2017/247396,,ECE 573
2017/243334,,ECE 573
2017/247400,,ECE 573
2017/247403,,ECE 573
2017/247405,,ECE 573
2017/247408,,ECE 573
2017/242562,,ECE 573
2018/250563,,ECE 573
2017/247411,,ECE 573
2017/247412,,ECE 573
2017/247415,,ECE 573
2017/247416,,ECE 573
2017/245079,,ECE 573
2017/243981,,ECE 573
2017/247419,,ECE 573
2017/244966,,ECE 573
2017/247459,XX,ECE 573
2017/247460,,ECE 573
2017/247462,,ECE 573
2016/241007,XX,ECE 573
2018/242518,,ECE 573
2017/241396,,ECE 573
2017/242609,,ECE 573
2017/243338,,ECE 573
2017/247466,,ECE 573
2017/247467,,ECE 573
2017/243341,,ECE 573
2017/247469,,ECE 573
2017/247470,,ECE 573
2017/241424,,ECE 573
2017/247471,,ECE 573
2017/247473,,ECE 573
2017/244998,,ECE 573
2017/245213,,ECE 573
2017/247474,,ECE 573
2017/247475,,ECE 573
2017/247476,,ECE 573
2017/242564,,ECE 573
2017/247477,,ECE 573
2017/247478,,ECE 573
2017/247479,,ECE 573
2017/242561,,ECE 573
2017/247480,,ECE 573
2018/250698,,ECE 573
2017/251649,,ECE 573
2018/242536,,ECE 573
2017/247488,,ECE 573
2017/247492,,ECE 573
2017/247495,,ECE 573
2017/247497,,ECE 573
2017/242563,,ECE 573
2017/247499,,ECE 573
2017/247504,,ECE 573
2018/250361,,ECE 573
2017/243977,,ECE 573
2016/237232,,ECE 573
2017/247513,,ECE 573
2017/247518,,ECE 573
2017/247522,XX,ECE 573
2017/247535,,ECE 573
2017/243340,XX,ECE 573
2017/247538,,ECE 573
2016/232390,XX,ECE 573
2017/241520,,ECE 573
2017/243335,,ECE 573
2018/242549,,ECE 573
2017/247549,,ECE 573
2017/241427,,ECE 573
2017/247554,XX,ECE 573
2017/247561,,ECE 573
2017/243979,,ECE 573
2017/247566,,ECE 573
2017/243331,,ECE 573
2017/243329,,ECE 573
2017/247569,,ECE 573
2017/243336,,ECE 573
2017/242560,,ECE 573
2017/247586,,ECE 573
2017/243982,,ECE 573
2017/247590,,ECE 573
2017/241425,,ECE 573
2017/245069,,ECE 573
2017/243980,,ECE 573
2017/247595,XX,ECE 573
2017/241939,XX,ECE 573
2017/247603,,ECE 573
2017/247609,,ECE 573
2017/247613,,ECE 573
2017/243692,,ECE 573
2017/243364,,ECE 573
2017/241522,,ECE 573
2017/247616,,ECE 573
2017/245047,,ECE 573
2018/242677,,ECE 573
2017/247622,,ECE 573
2017/247626,,ECE 573
2018/249029,,ECE 573
2017/247631,,ECE 573
2017/247633,,ECE 573
2017/247638,,ECE 573
2016/237922,,ECE 573
2016/240964,,ECE 573
2017/247642,,ECE 573
2012/181387,,ECE 573
2017/247651,,ECE 573
2017/247655,,ECE 573
2017/247659,,ECE 573
2017/247678,,ECE 573
2017/247685,,ECE 573
2017/247691,,ECE 573
2017/247697,,ECE 573
2017/247711,,ECE 573
2017/247718,,ECE 573
2017/247722,XX,ECE 573
2013/188968,,ECE 573
2014/191764,,ECE 573
2015/197170,,ECE 573
2011/177220,,ECE 573
2016/232911,,ECE 573
2014/193198,,ECE 573
2013/187656,,ECE 573
2017/242559,,ECE 574
2017/247306,,ECE 574
2017/247307,,ECE 574
2017/241523,,ECE 574
2015/202051,,ECE 574
2017/241426,,ECE 574
2017/247314,,ECE 574
2017/247316,,ECE 574
2017/247319,,ECE 574
2017/247322,,ECE 574
2017/247324,,ECE 574
2018/250680,,ECE 574
2017/247332,,ECE 574
2017/247336,,ECE 574
2017/247339,,ECE 574
2017/243343,,ECE 574
2017/243342,,ECE 574
2017/243694,,ECE 574
2017/247347,,ECE 574
2017/243693,,ECE 574
2017/247377,,ECE 574
2017/247379,,ECE 574
2017/251648,,ECE 574
2017/243339,,ECE 574
2017/243691,,ECE 574
2016/233494,,ECE 574
2017/247382,XX,ECE 574
2017/247388,,ECE 574
2017/247390,,ECE 574
2017/247392,,ECE 574
2017/247394,,ECE 574
2017/247395,,ECE 574
2017/243333,,ECE 574
2017/247396,,ECE 574
2017/247400,,ECE 574
2017/247403,,ECE 574
2017/247405,,ECE 574
2018/250563,,ECE 574
2017/247408,,ECE 574
2017/242562,,ECE 574
2017/247411,,ECE 574
2017/247412,,ECE 574
2017/247415,,ECE 574
2017/247416,,ECE 574
2017/245079,,ECE 574
2017/243981,,ECE 574
2017/247419,,ECE 574
2017/244966,,ECE 574
2017/247460,,ECE 574
2018/242518,,ECE 574
2017/241396,,ECE 574
2017/242609,,ECE 574
2017/243338,,ECE 574
2016/237222,,ECE 574
2017/247467,,ECE 574
2016/239193,XX,ECE 574
2017/243341,,ECE 574
2017/247469,,ECE 574
2017/247470,,ECE 574
2017/241424,,ECE 574
2017/247471,,ECE 574
2017/247473,,ECE 574
2017/244998,,ECE 574
2015/197561,XX,ECE 574
2017/245213,,ECE 574
2017/247474,,ECE 574
2017/247475,,ECE 574
2017/247476,,ECE 574
2017/242564,,ECE 574
2017/247477,,ECE 574
2017/247478,,ECE 574
2017/247479,,ECE 574
2017/242561,,ECE 574
2017/247480,,ECE 574
2018/250698,,ECE 574
2017/251649,,ECE 574
2018/242536,,ECE 574
2017/247488,,ECE 574
2017/247495,,ECE 574
2017/247497,,ECE 574
2017/242563,,ECE 574
2017/247499,,ECE 574
2017/247504,,ECE 574
2018/250361,,ECE 574
2017/243977,,ECE 574
2015/198342,XX,ECE 574
2016/237232,,ECE 574
2017/247518,,ECE 574
2017/247535,,ECE 574
2017/241520,,ECE 574
2018/242549,,ECE 574
2017/247549,,ECE 574
2017/241427,,ECE 574
2017/247561,,ECE 574
2017/243979,,ECE 574
2017/247566,,ECE 574
2017/243331,,ECE 574
2017/243329,,ECE 574
2017/247569,,ECE 574
2017/243336,,ECE 574
2017/247586,,ECE 574
2017/247590,,ECE 574
2017/241425,,ECE 574
2017/243980,,ECE 574
2017/247603,,ECE 574
2017/247609,,ECE 574
2017/247613,,ECE 574
2017/243692,,ECE 574
2017/243364,,ECE 574
2017/241522,,ECE 574
2017/247616,,ECE 574
2017/245047,,ECE 574
2018/242677,,ECE 574
2017/247622,,ECE 574
2017/247626,,ECE 574
2018/249029,,ECE 574
2017/247631,,ECE 574
2017/247633,,ECE 574
2017/247638,,ECE 574
2016/237922,,ECE 574
2017/247642,,ECE 574
2016/240964,,ECE 574
2012/181387,,ECE 574
2017/247651,,ECE 574
2017/247655,,ECE 574
2017/247659,,ECE 574
2017/247678,,ECE 574
2017/247685,,ECE 574
2017/247691,,ECE 574
2017/247718,,ECE 574
2017/243330,,ECE 574
2017/243982,,ECE 574
2017/247697,,ECE 574
2017/245069,,ECE 574
2017/247466,,ECE 574
2017/247711,,ECE 574
2017/247330,,ECE 574
2017/242560,,ECE 574
2017/243335,,ECE 574
2017/243332,,ECE 574
2017/247513,,ECE 574
2017/247492,,ECE 574
2017/247538,,ECE 574
2015/202051,67.5,ECE 576
2017/247314,55.3,ECE 576
2017/243343,77.2,ECE 576
2017/251648,61.6,ECE 576
2017/247392,69.9,ECE 576
2017/247460,52.5,ECE 576
2017/247474,85.9,ECE 576
2017/247480,40.7,ECE 576
2017/247504,72.7,ECE 576
2017/243977,51.6,ECE 576
2017/247566,83.4,ECE 576
2017/243329,76.8,ECE 576
2017/247609,82.4,ECE 576
2017/245047,82.0,ECE 576
2017/247622,53.2,ECE 576
2017/247678,82.8,ECE 576
2017/247711,62.4,ECE 576
2017/242559,,ECE 578
2017/247307,,ECE 578
2017/241426,,ECE 578
2017/247322,,ECE 578
2017/247336,,ECE 578
2017/243342,,ECE 578
2017/243693,XX,ECE 578
2017/247379,,ECE 578
2017/247388,,ECE 578
2017/247400,,ECE 578
2017/247411,,ECE 578
2017/245079,,ECE 578
2017/241396,,ECE 578
2017/247469,,ECE 578
2017/247470,,ECE 578
2017/241424,,ECE 578
2017/242561,,ECE 578
2017/247488,XX,ECE 578
2017/247495,,ECE 578
2017/247497,,ECE 578
2016/237232,,ECE 578
2017/247535,,ECE 578
2017/241427,,ECE 578
2017/247561,,ECE 578
2017/243331,,ECE 578
2017/243336,,ECE 578
2017/243980,,ECE 578
2017/241522,,ECE 578
2012/181387,,ECE 578
2017/247655,,ECE 578
2017/247659,,ECE 578
2017/247718,,ECE 578
2017/243335,,ECE 578
2017/242559,,ECE 592
2017/247306,,ECE 592
2017/247307,,ECE 592
2017/243330,,ECE 592
2017/241523,,ECE 592
2015/202051,,ECE 592
2017/241426,,ECE 592
2017/247314,,ECE 592
2017/247316,,ECE 592
2017/247319,,ECE 592
2017/247322,,ECE 592
2017/247324,,ECE 592
2017/247330,,ECE 592
2018/250680,,ECE 592
2017/247332,,ECE 592
2017/247336,,ECE 592
2017/247339,,ECE 592
2017/243343,,ECE 592
2017/243342,,ECE 592
2017/243694,,ECE 592
2017/247347,,ECE 592
2017/243693,,ECE 592
2017/247377,,ECE 592
2017/242560,,ECE 592
2017/247379,,ECE 592
2017/251648,,ECE 592
2017/243691,,ECE 592
2017/247388,,ECE 592
2017/247390,,ECE 592
2017/247392,,ECE 592
2017/243332,,ECE 592
2017/247394,,ECE 592
2017/247395,,ECE 592
2017/243333,,ECE 592
2017/247396,,ECE 592
2017/247400,,ECE 592
2017/247403,,ECE 592
2017/247405,,ECE 592
2018/250563,,ECE 592
2017/247408,,ECE 592
2017/242562,,ECE 592
2017/247411,,ECE 592
2017/247412,,ECE 592
2017/247415,,ECE 592
2017/247416,,ECE 592
2017/245079,,ECE 592
2017/243981,,ECE 592
2017/247419,,ECE 592
2017/244966,,ECE 592
2017/247460,,ECE 592
2018/242518,,ECE 592
2017/241396,,ECE 592
2017/242609,,ECE 592
2017/243338,,ECE 592
2017/247466,,ECE 592
2017/247467,,ECE 592
2017/243341,,ECE 592
2017/247469,,ECE 592
2017/247470,,ECE 592
2017/241424,,ECE 592
2017/247471,,ECE 592
2017/247473,,ECE 592
2017/244998,,ECE 592
2017/245213,,ECE 592
2017/247474,,ECE 592
2017/247475,,ECE 592
2017/247476,,ECE 592
2017/242564,,ECE 592
2017/247477,,ECE 592
2017/247478,,ECE 592
2017/247479,,ECE 592
2017/242561,,ECE 592
2017/247480,,ECE 592
2018/250698,,ECE 592
2017/251649,,ECE 592
2018/242536,,ECE 592
2017/247488,,ECE 592
2017/247492,,ECE 592
2017/247495,,ECE 592
2017/247497,,ECE 592
2017/242563,,ECE 592
2017/247499,,ECE 592
2017/247504,,ECE 592
2018/250361,,ECE 592
2017/243977,,ECE 592
2016/237232,,ECE 592
2017/247518,,ECE 592
2017/247535,,ECE 592
2017/247538,,ECE 592
2017/241520,,ECE 592
2017/243335,,ECE 592
2017/247549,,ECE 592
2017/241427,,ECE 592
2017/247561,,ECE 592
2017/243979,,ECE 592
2017/247566,,ECE 592
2017/243331,,ECE 592
2017/243329,,ECE 592
2017/247569,,ECE 592
2017/243336,,ECE 592
2017/243339,,ECE 592
2017/247586,,ECE 592
2017/243982,,ECE 592
2017/247590,,ECE 592
2017/241425,,ECE 592
2017/245069,,ECE 592
2017/243980,,ECE 592
2017/247603,,ECE 592
2017/247609,,ECE 592
2017/247613,,ECE 592
2017/243692,,ECE 592
2017/243364,,ECE 592
2017/241522,,ECE 592
2017/247616,,ECE 592
2017/245047,,ECE 592
2017/247622,,ECE 592
2018/242677,,ECE 592
2017/247626,,ECE 592
2018/249029,,ECE 592
2017/247631,,ECE 592
2017/247633,,ECE 592
2017/247638,,ECE 592
2016/237922,,ECE 592
2017/247642,,ECE 592
2016/240964,,ECE 592
2012/181387,,ECE 592
2017/247651,,ECE 592
2017/247659,,ECE 592
2017/247655,,ECE 592
2017/247678,,ECE 592
2017/247685,,ECE 592
2017/247691,,ECE 592
2017/247697,,ECE 592
2017/247711,,ECE 592
2017/247718,,ECE 592
