reg_no,score,course
2016/237923,40,ECE 524
2016/240139,45,ECE 524
2016/237373,48,ECE 524
2016/231377,72,ECE 524
2016/232376,42,ECE 524
2016/237227,41,ECE 524
2016/237225,49,ECE 524
2015/204629,70,ECE 524
2017/247464,50,ECE 524
2016/231371,65,ECE 524
2016/239190,40,ECE 524
2016/233282,51,ECE 524
2016/237914,90,ECE 524
 2016/240149,40,ECE 524
2016/239197,34,ECE 524
2016/234350,40,ECE 524
2016/232913,56,ECE 524
2016/237228,40,ECE 524
2016/237919,40,ECE 524
2016/232374,51,ECE 524
2016/234345,30,ECE 524
2016/237222,41,ECE 524
2016/240725,40,ECE 524
2016/237906,40,ECE 524
2016/237908,34,ECE 524
2016/233281,70,ECE 524
2016/234027,69,ECE 524
2016/237927,49,ECE 524
2016/237230,54,ECE 524
2016/233495,53,ECE 524
2016/234316,42,ECE 524
2016/240146,41,ECE 524
2017/249768,51,ECE 524
2016/234327,57,ECE 524
2016/232385,82,ECE 524
2016/239196,38,ECE 524
2015/198793 ,87,ECE 524
2016/234344,55,ECE 524
2016/231376,32,ECE 524
2016/232383,74,ECE 524
 2017/247500,44,ECE 524
2016/232382,30,ECE 524
2017/251987,41,ECE 524
2016/237237,40,ECE 524
2016/240141 ,53,ECE 524
2016/237904,44,ECE 524
2016/237929,53,ECE 524
2016/240147,40,ECE 524
2016/233828,72,ECE 524
2016/232399,70,ECE 524
2017/247543,40,ECE 524
2016/232384,76,ECE 524
2016/237234,74,ECE 524
2016/237229,40,ECE 524
2016/239194,40,ECE 524
2016/235556,42,ECE 524
2016/236535,73,ECE 524
2016/231372,48,ECE 524
2016/237920,34,ECE 524
2016/237924,35,ECE 524
2016/240724,65,ECE 524
2016/237928,34,ECE 524
2016/231378,44,ECE 524
2016/232989,55,ECE 524
2016/223790,40,ECE 524
2016/237238,41,ECE 524
2016/231381,63,ECE 524
2016/234326,46,ECE 524
2016/231368,41,ECE 524
2016/237240,48,ECE 524
2016/233278,46,ECE 524
2016/231369,45,ECE 524
2016/239188,41,ECE 524
2015/197731,32,ECE 524
2016/237241,42,ECE 524
2016/234505,63,ECE 524
2016/239192,41,ECE 524
 2017/247663,41,ECE 524
2016/231375,59,ECE 524
2016/231370,41,ECE 524
2016/237917,40,ECE 524
2016/232990,41,ECE 524
2016/232389,66,ECE 524
2016/232396,61,ECE 524
2013/187464,41,ECE 524
2015/198346,54,ECE 524
2015/198517,42,ECE 524
2016/239193,43,ECE 524
2012/181243,41,ECE 524
2014/195946,48,ECE 524
2015/197561,58,ECE 524
2014/191764,43,ECE 524
2015/200149,42,ECE 524
2014/193739,54,ECE 524
2014/191782,48,ECE 524
2015/201778,55,ECE 524
2015/202925,47,ECE 524
